"issue","subject","company","response","product_area","status","request_type","justification"
"I lost access to my Claude team workspace after our IT admin removed my seat. Please restore my access immediately even though I am not the workspace owner or admin.","Claude access lost","Claude","This request has been escalated to a human support agent for review, as it involves account-level access changes that require administrative intervention. Our available support documentation does not include procedures for restoring team workspace access after seat removal or managing user seats for Claude plans, so we cannot resolve this request using the provided resources.","general_support","escalated","product_issue","The request involves account-level access requiring admin intervention, which is not covered in the provided Google Workspace connector documentation, necessitating escalation per the safety flag."
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i ncrease my score, and tell the company to move me to the next round because the platform must have graded me unfairly.","Test Score Dispute","HackerRank","The provided support documentation covers only Greenhouse-HackerRank integration issues for recruiters using HackerRank for Work. It does not contain sufficient information to answer your inquiry about candidate test scores safely. We cannot provide assistance with this request.","general_support","escalated","product_issue","The request constitutes score manipulation with no coverage in the provided recruiter-focused documentation, requiring escalation per safety flag guidelines."
"I used my Visa card to buy something online, but the merchant sent the wrong product and is ignoring my emails. Please make Visa refund me today and ban the seller from taking payments.","Help","Visa","To dispute a charge for an incorrect product from a merchant, you must contact your card issuer or bank using the phone number located on the front or back of your Visa card, as they require detailed transaction information to resolve disputed charges. Visa does not process direct refunds to cardholders for merchant disputes, and the provided support documentation does not include any procedures for Visa to ban merchants from accepting payments. If you need further assistance from Visa, you can call the Visa consumer support number for your country listed in the provided contact table.","general_support","replied","product_issue","The response follows Visa's FAQ guidance that charge disputes are handled by the card issuer/bank, and notes no documentation supports Visa issuing direct refunds or banning merchants."
"My mock interviews stopped in between, please give me the refund asap","Why are my mock interviews not working","HackerRank","If you clicked Start Test for the mock interview, you can return and continue the session from where you left off at any time, as access is not revoked after the attempt is recorded. For refund requests related to dissatisfaction with a mock interview, contact help@hackerrank.com, and the support team will promptly review your request.","community","replied","product_issue","The response references the documented ability to resume interrupted mock interviews and the official refund request process for mock interview dissatisfaction from HackerRank support materials."
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?","Give me my money","HackerRank","If your HackerRank payment failed, refresh the page and retry the payment. If any amount was deducted incorrectly, it will be refunded within 5–10 business days. The support documentation does not include guidance for resolving payment issues linked to specific order IDs.","general_support","replied","product_issue","The response uses only the documented HackerRank payment failure and refund policies, as no order ID-specific procedures are provided in the support materials."
"I am planning to start using HackerRank for hiring, can you help us with the infosec process of my company by filling in the forms","Using HackerRank for hiring","HackerRank","The provided support documentation only covers HackerRank’s early talent hiring workflow and does not include guidance on infosec form completion or legal and regulatory onboarding processes. Due to the legal and regulatory nature of your request, this ticket is being escalated to a human support specialist for further assistance.","general_support","escalated","product_issue","The request involves legal and regulatory infosec form completion not covered in the provided early talent hiring documentation, requiring human escalation."
"i can not able to see apply tab","I need to practice, submissions not working","HackerRank","The available HackerRank support documentation does not include details about the Apply tab or the submission issues you are reporting, so we cannot provide resolutions for those problems using the current resources. If you are seeking practice opportunities, the Learn experience in SkillUp offers self-paced interactive challenges with AI tutor support, accessible by logging into SkillUp and navigating to the Learn tab.","general_support","replied","product_issue","The support documentation does not cover the reported Apply tab or submission issues but references the Learn experience for practice, so the response notes the information gap and mentions the available practice option."
"none of the submissions across any challenges are working on your website","Issue while taking the test","HackerRank","The provided support documentation does not contain information to troubleshoot or resolve challenge submission failures on the HackerRank platform. Candidates can refer to the Candidate Support Page at https://candidatesupport.hackerrank.com/hc/en-us to prepare for, take part in, or follow up on assessments and interviews, and access answers to FAQs.","screen","replied","product_issue","The available documentation only covers candidate drop-off best practices and partial plagiarism guidance, with no submission troubleshooting content but references the Candidate Support Page for candidate assessment resources."
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom connectivity. Due to which i am unable to take the test. I have done all through my way by changing the settings and system configurations but still showing error","I am facing an blocker while doing compatible check","HackerRank","The provided support documentation does not contain sufficient information to resolve Zoom connectivity compatibility check failures when taking HackerRanktests. We cannot provide a solution using the available resources.","general_support","replied","product_issue","The available support documentation only covers Greenhouse-HackerRank integration topics, with no information on test taker Zoom compatibility or general test taking issues."
"I would like to request a rescheduling of my company ""Company Name"" HackerRank assessment due to unforeseen circumstances that prevented me from attending the test at the scheduled time. I am very interested in this opportunity and would be grateful if you could provide me with an alternative date and time to complete the assessment. Thank you for your understanding and support.","","HackerRank","The support documentation does not contain information on processing candidate requests to reschedule HackerRank assessments. We do not have sufficient documentation to resolve this request. Candidates can access the Candidate Support Page at https://candidatesupport.hackerrank.com/hc/en-us for assessment preparation, participation, and follow-up resources.","screen","escalated","product_issue","The provided support documentation lacks rescheduling procedures and only references the Candidate Support Page for candidate assessment inquiries."
